,Names,Situacoes
255,ECO050 - CONCESSIONÁRIA DE RODOVIAS S.A.,Concedido em 02/03/2016
256,ECO101 CONCESSIONÁRIA DE RODOVIAS S.A.,Concedido em 10/04/2015
257,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Concedido em 22/12/2009
258,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,Concedido em 24/09/2003
259,EDP ENERGIAS DO BRASIL S/A,Concedido em 05/07/2005
260,EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,Concedido em 19/01/1996
261,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,Concedido em 27/03/1998
262,ELDORADO BRASIL CELULOSE S.A.,Concedido em 06/06/2012
263,ELECTRO AÇO ALTONA S/A,Concedido em 19/01/1950
264,ELEKTRO REDES S.A.,Concedido em 08/07/1998
265,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Concedido em 30/09/1996
266,ELETROPAULO METROPOLITANA EL.S.PAULO S.A,Concedido em 19/08/1993
267,ELFA MEDICAMENTOS S.A.,Concedido em 02/12/2020
268,EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A,Concedido em 27/03/1998
269,EMBRAER S.A.,Concedido em 23/05/2006
270,"EMP.NAC. DE COMÉRCIO, RÉDITO E PART. S.A. - ENCORPAR",Concedido em 07/10/1997
271,EMPREENDIMENTOS PAGUE MENOS SA,Concedido em 21/10/2011
272,ENAUTA PARTICIPAÇÕES S.A.,Concedido em 02/02/2011
273,ENCALSO PARTICIPAÇÕES EM CONCESSÕES S.A.,Concedido em 08/09/2015
274,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Concedido em 25/10/1994
275,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A,Concedido em 28/08/1981
276,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,Concedido em 17/12/1969
277,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A,Concedido em 29/01/2010
278,ENERGISA SA,Concedido em 20/12/1995
279,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A,Concedido em 17/07/2001
280,ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A.,Concedido em 05/11/2019
281,ENERGISA TRANSMISSÃO DE ENERGIA S.A.,Concedido em 29/10/2018
282,ENEVA S.A.,Concedido em 07/12/2007
283,ENGIE BRASIL ENERGIA S.A.,Concedido em 28/05/1998
284,ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.,Concedido em 05/11/2020
285,ENTREVIAS CONCESSIONÁRIA DE RODOVIAS S.A.,Concedido em 01/03/2018
286,EQUATORIAL ENERGIA S/A,Concedido em 30/03/2006
287,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Concedido em 13/11/1997
288,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,Concedido em 14/06/1999
289,EQUATORIAL TRANSMISSORA 7 SPE S.A.,Concedido em 14/06/2018
290,EQUATORIAL TRANSMISSORA 8 SPE S.A.,Concedido em 28/06/2018
291,ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL,Concedido em 17/11/1970
292,EUCATEX SA IND E COMERCIO,Concedido em 20/08/1969
293,EVEN CONSTRUTORA E INCORPORADORA S/A,Concedido em 02/03/2007
294,EXCELSIOR ALIMENTOS SA.,Concedido em 20/07/1977
295,EZ INC INCORPORAÇÕES COMERCIAIS S.A.,Concedido em 14/12/2020
296,EZ TEC EMPREEND. E PARTICIPAÇÕES S/A,Concedido em 15/06/2007
297,FABRICA DE PAPEL DA AMAZÔNIA S/A,Concedido em 02/03/1990
298,FARMÁCIA E DROGARIA NISSEI S.A.,Concedido em 14/01/2021
299,FARTURA AGROPECUÁRIA S/A,Concedido em 07/08/1991
300,FELCAR SECURITIZADORA S.A.,Concedido em 19/01/2018
301,FENICIAPAR S/A,Concedido em 15/09/1995
302,FERREIRA GOMES ENERGIA S.A.,Concedido em 11/10/2012
303,FERROVIA CENTRO ATLANTICA SA,Concedido em 12/02/1996
304,FERROVIA NORTE SUL S/A,Concedido em 24/11/2009
305,FERTILIZANTES HERINGER S.A. - EM RECUPERAÇÃO JUDICIAL,Concedido em 10/04/2007
306,FIAÇÃO DE ALGODÃO MOCÓ S/A,Concedido em 29/01/1990
307,FIACAO E TECELAGEM SAO JOSE S/A - EM RECUPERAÇÃO JUDICIAL,Concedido em 18/10/1971
308,FIBAM CIA INDUSTRIAL - EM RECUPERAÇÃO JUDICIAL,Concedido em 03/08/1972
309,FIBRASA S.A.,Concedido em 11/11/2015
310,FILADÉLFIA SECURITIZADORA S/A.,Concedido em 03/06/2019
311,FINANCEIRA ALFA S.A.- C.F.I,Concedido em 20/07/1977
312,"FINANSINOS S/A-CRÉDITO, FINAN. E INVEST.",Concedido em 20/07/1977
313,FLEURY SA,Concedido em 14/12/2009
314,FLEX GESTÃO DE RELACIONAMENTO S.A.,Concedido em 01/03/2018
315,FONTAINE VILLE PARTICIPAÇÕES S/A,Concedido em 16/01/2013
316,FORPART S.A. - EM LIQUIDAÇÃO,Concedido em 21/02/1995
317,FORTE SECURITIZADORA S.A.,Concedido em 15/06/2011
318,FORTUNATO SECURITIZADORA S.A.,Concedido em 06/03/2015
319,FRAS-LE SA,Concedido em 20/07/1977
320,FRIGORÍFICO REDENTOR S.A.,Concedido em 24/07/2018
321,FRIGORÍFICO RIO DOCE S/A,Concedido em 18/05/1990
322,FTL - FERROVIA TRANSNORDESTINA LOGÍSTICA S.A.,Concedido em 25/04/2014
323,FUTURETEL S.A. - EM LIQUIDAÇÃO,Concedido em 16/06/1998
324,GAFISA SA,Concedido em 21/02/1997
325,GAIA AGRO SECURITIZADORA S.A.,Concedido em 28/03/2012
326,GAIA CRED SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.,Concedido em 07/10/2016
327,GAIA SECURITIZADORA S/A,Concedido em 28/07/2006
328,GAMA PARTICIPAÇÕES S.A.,Concedido em 01/12/1998
329,GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,Concedido em 26/07/2007
330,GERDAU S.A.,Concedido em 03/09/1980
331,GOL LINHAS AEREAS INTELIGENTES SA,Concedido em 09/06/2004
332,"GP INVESTMENTS, LTD",Concedido em 30/05/2006
333,GPC PARTICIPACOES SA,Concedido em 20/11/1997
334,GRAMAZON GRANITOS DA AMAZÔNIA S/A,Concedido em 30/01/1996
335,GRANBIO INVESTIMENTOS S.A.,Concedido em 13/11/2020
336,GRAZZIOTIN SA,Concedido em 31/01/1979
337,GRENDENE SA,Concedido em 26/10/2004
338,GRUPO DE MODA SOMA S.A.,Concedido em 29/07/2020
339,GRUPO MATEUS S.A.,Concedido em 08/10/2020
340,GRUPO SBF S.A.,Concedido em 15/04/2019
341,GUARARAPES CONFECÇÕES SA,Concedido em 16/10/1958
342,GUARDIAN COMPANHIA SECURITIZADORA,Concedido em 10/10/2018
343,HABITASEC SECURITIZADORA SA,Concedido em 19/08/2008
344,HAGA S.A. INDÚSTRIA E COMÉRCIO,Concedido em 01/09/1988
345,HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,Concedido em 20/04/2018
346,HAUSCENTER SA,Concedido em 02/05/1995
